S0001,47.12,3
S0002,47.30,3
S0003,51.25,2:2
S0004,60.12,2:1
S0005,69.20,2:1
S0006,41.86,3
S0007,62.57,2:1
S0008,33.30,F
S0009,49.00,3
S0010,48.82,3
S0011,78.62,1
S0012,50.50,2:2
S0013,54.89,2:2
S0014,39.33,3
S0015,61.30,2:1
S0016,63.33,2:1
S0017,41.29,3
S0018,38.17,F
S0019,54.14,2:2
S0020,52.12,2:2
S0021,55.75,2:2
S0022,36.09,F
S0023,47.20,3
S0024,56.00,2:2
S0025,59.56,2:1
S0026,57.88,2:2
S0027,59.17,2:1
S0028,56.75,2:2
S0029,48.12,3
S0030,36.30,F
S0031,68.73,2:1
S0032,55.75,2:2
S0033,67.42,2:1
S0034,64.50,2:1
S0035,42.11,3
S0036,42.20,3
S0037,47.82,3
S0038,66.57,2:1
S0039,55.43,2:2
S0040,53.89,2:2
S0041,63.00,2:1
S0042,51.00,2:2
S0043,30.14,F
S0044,54.83,2:2
S0045,53.67,2:2
S0046,52.33,2:2
S0047,39.92,3
S0048,53.86,2:2
S0049,38.00,F
S0050,41.64,3
