S0001,69.60,2:1
S0002,56.73,2:2
S0003,40.89,3
S0004,41.43,3
S0005,59.73,2:1
S0006,53.33,2:2
S0007,53.30,2:2
S0008,40.60,3
S0009,61.91,2:1
S0010,66.67,2:1
S0011,81.10,1
S0012,44.91,3
S0013,53.00,2:2
S0014,62.14,2:1
S0015,60.00,2:1
S0016,77.00,1
S0017,41.71,3
S0018,49.36,2:2
S0019,51.10,2:2
S0020,39.73,3
S0021,55.73,2:2
S0022,48.09,3
S0023,31.33,F
S0024,61.27,2:1
S0025,36.17,F
S0026,36.86,F
S0027,35.14,F
S0028,36.00,F
S0029,62.10,2:1
S0030,39.67,3
S0031,63.50,2:1
S0032,49.86,2:2
S0033,48.57,3
S0034,35.50,F
S0035,29.29,F
S0036,39.30,3
S0037,46.00,3
S0038,41.43,3
S0039,37.71,F
S0040,61.08,2:1
S0041,40.83,3
S0042,45.36,3
S0043,56.11,2:2
S0044,46.45,3
S0045,44.67,3
S0046,47.67,3
S0047,52.67,2:2
S0048,50.30,2:2
S0049,49.60,2:2
S0050,40.88,3
